Country,Owner,Output Name,Output Path,Output Format ,CoverPageImage,Email Address
France,Gerard,France,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
USA,Anthony,USA,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Australia,William,Australia,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
Norway,Gerard,Norway,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
Poland,Gerard,Poland,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Germany,Gerard,Germany,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
Spain,Gerard,Spain,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
Sweden,Gerard,Sweden,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Denmark,Gerard,Denmark,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
Singapore,William,Singapore,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
Portugal,Gerard,Portugal,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Japan,William,Japan,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
Finland,Gerard,Finland,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
UK,Gerard,UK,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Ireland,Gerard,Ireland,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
Canada,Anthony,Canada,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
Hong Kong,William,Hong Kong,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Italy,Gerard,Italy,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
Switzerland,Gerard,Switzerland,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
Netherlands,Gerard,Netherlands,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Belgium,Gerard,Belgium,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
New Zealand,William,New Zealand,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
South Africa,William,South Africa,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Austria,Gerard,Austria,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
Philippines,William,Philippines,/Output/Temp/,pdf,,hemant@activeintelligence.co.uk
Russia,Gerard,Russia,/Output/Temp/,rptdocument,,hemant@activeintelligence.co.uk
Israel,Gerard,Israel,/Output/Temp/,xlsx,,hemant@activeintelligence.co.uk
